"NAME","STATUS","HRS","SUM_IN_GB","SUM_OUT_GB"
"galaxy1","COMPLETED",0.23,20.35,19.66

"NAME","STATUS","HRS","SUM_IN_GB","SUM_OUT_GB"
"glxypac1","COMPLETED",0.07,8.49,8.01

"NAME","STATUS","HRS","SUM_IN_GB","SUM_OUT_GB"
"jwpac2","COMPLETED",0.24,23.57,23.12

"NAME","STATUS","HRS","SUM_IN_GB","SUM_OUT_GB"
"master2","COMPLETED",0.18,23.26,22.84

"NAME","STATUS","HRS","SUM_IN_GB","SUM_OUT_GB"
"pac1","COMPLETED",0.71,35.38,34.85

"NAME","STATUS","HRS","SUM_IN_GB","SUM_OUT_GB"
"sgcloud2","COMPLETED",4.28,854.05,844.85

"NAME","STATUS","HRS","SUM_IN_GB","SUM_OUT_GB"
"spmaster1","COMPLETED",0.12,14.9,14.56

"NAME","STATUS","HRS","SUM_IN_GB","SUM_OUT_GB"
"sptshub1","COMPLETED",0.85,63.55,61.68

"NAME","STATUS","HRS","SUM_IN_GB","SUM_OUT_GB"
"sptspac1","COMPLETED",0.17,12.07,11.67

"NAME","STATUS","HRS","SUM_IN_GB","SUM_OUT_GB"
"venetian1","COMPLETED",1.17,60.84,60.11

"NAME","STATUS","HRS","SUM_IN_GB","SUM_OUT_GB"
"wkcd1","COMPLETED",0.83,49.72,48.84

"NAME","STATUS","HRS","SUM_IN_GB","SUM_OUT_GB"
"wkcdpac2","COMPLETED",0.28,26.73,26.26

